Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Gas; distribution of gaseous fuels through mains,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Other coal and coal tar products n.e.c,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Plastic products n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Radiographic X-ray apparatus X-ray tubes and parts and electrical equipment n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Railway/tramway wagons and coaches and other railroad equipment n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Textiles/textile products n.e.c. like linoleum, padding wadding, upholstering and filling, etc.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Tobacco products,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Weaving and finishing of cotton textiles on handlooms,1998-1999,2002-2003
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
