Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Classification of Factories by States,Physical Characteristics By States,1987,Value of Gross Output,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Net Value Added,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Total Persons Engaged,1980-1981,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Materials Consumed,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Outstanding Loans,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Employees,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Additions to Total Stock,1979-1980,1997-1998
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Gross Value Added,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Number of Workers,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Rent Paid,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Productive Capital,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Gross Capital Formation,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Interest Paid,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Value of Gross Output,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Gross Value Added,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Number of Factories,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Total Emoluments,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Net Fixed Capital Formation,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Invested Capital,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Total Persons Engaged,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Net Value Added,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Additions to Total Stock,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Products and By-products,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Addition in Stock of Finished Goods,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Depreciation,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Addition in Stock of Semi-Finished Goods,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Fixed Capital,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Profits,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,PF and Other Benefits,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Total Input,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Wages and Salaries - Total,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Working Capital,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Physical Working Capital,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Fuels Consumed - Total,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Gross Fixed Capital Formation,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Profits,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,"Addition in Stock of Materials, Fuels, etc.",1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Net Fixed Capital Formation,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Number of Employees,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Materials Consumed,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Net Income,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Fixed Capital,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Products and By-products,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Materials Consumed,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Addition in Stock of Finished Goods,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Fuels Consumed,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Productive Capital,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Outstanding Loans,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Total Emoluments,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Addition in Stock of Semi-Finished Goods,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Number of Workers,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,PF and Other Benefits,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Working Capital,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Net Income,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Total Input,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Value of Gross Output,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Net Value Added,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Additions to Total Stock,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Total Persons Engaged,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Gross Fixed Capital Formation,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Wages to Workers,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Physical Working Capital,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Interest Paid,1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,1998,Invested Capital,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Number of Factories,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Outstanding Loans,1998-1999,2003-2004
Major Classification of Factories by States,Physical Characteristics By States,1998,Gross Capital Formation,1998-1999,2003-2004
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Rent Paid,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,Depreciation,1998-1999,2002-2003
Major Classification of Factories by States,Principal Characteristics By State and By Rural and Urban Break-up,1998,"Addition in Stock of Materials, Fuels, etc.",1998-1999,2002-2003
Major Classification of Factories by States,Physical Characteristics By States,2004,Gross Value Added,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Fuels Consumed - Total,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Addition in Stock of Finished Goods,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Interest Paid,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Number of Employees,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Rent Paid,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Value of Gross Output,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Profits,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Net Fixed Capital Formation,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Depreciation,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,"Addition in Stock of Materials, Fuels, etc.",2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Materials Consumed,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Total Persons Engaged,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Total Input,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Wages and Salaries - Total,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Net Income,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Addition in Stock of Semi-Finished Goods,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Net Value Added,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Number of Workers,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Working Capital,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,PF and Other Benefits,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Productive Capital,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Invested Capital,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Gross Capital Formation,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Number of Factories,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Outstanding Loans,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Gross Fixed Capital Formation,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Fixed Capital,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Products and By-products,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Additions to Total Stock,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Physical Working Capital,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,2004,Total Emoluments,2004-2005,2007-2008
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Fixed Capital,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Products and By-products,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Number of Factories,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Gross Capital Formation,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Physical Working Capital,2008-2009,2021-2022
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Interest Received,2022-2023,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Total Emoluments,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Productive Capital,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Profits,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Working Capital,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,PF and Other Benefits,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Wages and Salaries - Workers,2022-2023,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Gross Fixed Capital Formation,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Outstanding Loans,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,"Addition in Stock of Materials, Fuels, etc.",2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Invested Capital,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Addition in Stock of Semi-Finished Goods,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Number of Employees,2008-2009,2021-2022
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Additions to Total Stock,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Net Value Added,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Materials Consumed,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Net Income,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Number of Workers,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Total Input,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Total Persons Engaged,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Depreciation,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Fuels Consumed - Total,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Addition in Stock of Finished Goods,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Rent Received,2022-2023,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Value of Gross Output,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Net Fixed Capital Formation,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Rent Paid,2008-2009,2023-2024
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Gross Value Added,2008-2009,2021-2022
Major Classification of Factories by States,Physical Characteristics By States,NIC-2008,Wages and Salaries - Total,2008-2009,2021-2022
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Records: 1 - 161 of 162 ,,,,,
