NIC_Code,NIC_Description,Variable,Year,State,Value
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Assam,0.0
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Assam,
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Assam,
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Assam,
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Assam,
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Assam,
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Assam,
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Assam,
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Assam,
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Assam,
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Assam,
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Assam,
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Assam,
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Assam,
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Assam,
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Assam,
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Assam,
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Assam,
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Assam,
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Assam,8.0
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Assam,5.0
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Assam,5.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Assam,5.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Assam,8.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Assam,6.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Assam,3.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Assam,4.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Assam,3.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Assam,5.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Bihar,3.0
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Bihar,3.0
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Bihar,0.0
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Bihar,3.0
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Bihar,0.0
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Bihar,3.0
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Bihar,8.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Bihar,3.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Bihar,6.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Bihar,6.0
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Bihar,6.0
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Bihar,
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Bihar,
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Bihar,
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Bihar,
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Bihar,
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Bihar,
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Bihar,
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Bihar,
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Bihar,
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Bihar,
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Bihar,
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Bihar,
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Bihar,
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Bihar,
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Bihar,
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Bihar,9.0
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Bihar,6.0
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Bihar,6.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Bihar,5.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Bihar,4.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Bihar,7.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Chhattisgarh,5.0
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Chhattisgarh,
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Chhattisgarh,7.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Chhattisgarh,8.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Chhattisgarh,8.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Goa,
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Goa,
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Goa,
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Goa,
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Goa,
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Goa,
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Goa,
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Goa,
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Goa,
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Goa,7.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Goa,10.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Goa,7.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Goa,7.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Goa,9.0
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Goa,8.0
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Goa,7.0
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Goa,6.0
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Goa,6.0
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Goa,6.0
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Goa,3.0
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Goa,
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Goa,
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Goa,
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Goa,
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Goa,
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Goa,
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Goa,
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Goa,
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Goa,
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Goa,
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Goa,
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Goa,
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Goa,
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Goa,
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Goa,3.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Goa,3.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Goa,
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Goa,
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Goa,
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Goa,
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Goa,
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Goa,
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Goa,
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Gujarat,156.0
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Gujarat,147.0
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Gujarat,114.0
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Gujarat,113.0
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Gujarat,117.0
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Gujarat,125.0
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Gujarat,123.0
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Gujarat,146.0
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Gujarat,140.0
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Gujarat,111.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Gujarat,112.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Gujarat,134.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Gujarat,142.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Gujarat,156.0
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Gujarat,159.0
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Gujarat,145.0
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Gujarat,145.0
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Gujarat,236.0
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Gujarat,205.0
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Gujarat,142.0
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Gujarat,188.0
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Gujarat,107.0
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Gujarat,141.0
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Gujarat,151.0
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Gujarat,173.0
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Gujarat,138.0
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Gujarat,253.0
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Gujarat,184.0
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Gujarat,187.0
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Gujarat,290.0
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Gujarat,322.0
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Gujarat,300.0
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Gujarat,285.0
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Gujarat,325.0
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Gujarat,351.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Gujarat,397.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Gujarat,384.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Gujarat,383.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Gujarat,481.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Gujarat,448.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Gujarat,479.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Gujarat,510.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Gujarat,579.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Haryana,7.0
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Haryana,5.0
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Haryana,3.0
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Haryana,3.0
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Haryana,3.0
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Haryana,4.0
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Haryana,5.0
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Haryana,4.0
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Haryana,9.0
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Haryana,14.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Haryana,12.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Haryana,23.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Haryana,50.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Haryana,56.0
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Haryana,60.0
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Haryana,78.0
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Haryana,97.0
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Haryana,77.0
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Haryana,142.0
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Haryana,192.0
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Haryana,191.0
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Haryana,184.0
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Haryana,191.0
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Haryana,244.0
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Haryana,245.0
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Haryana,299.0
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Haryana,315.0
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Haryana,301.0
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Haryana,353.0
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Haryana,488.0
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Haryana,475.0
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Haryana,472.0
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Haryana,439.0
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Haryana,503.0
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Haryana,505.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Haryana,496.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Haryana,510.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Haryana,1143.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Haryana,818.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Haryana,856.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Haryana,766.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Haryana,704.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Haryana,665.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Himachal Pradesh,0.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Himachal Pradesh,3.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Himachal Pradesh,3.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Himachal Pradesh,3.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Himachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Himachal Pradesh,
