Data Type,Item Name,From Date,To Date
EPWRF Concorded Series,manufacture of glass and glass products,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of grain mill products, starches and starch products",1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of irradiation, electromedical and electrotherapeutic equipment",1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of jewellery, bijouterie and related articles",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of knitted and crocheted apparel,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of leather and related products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of machinery and equipment n.e.c,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of magnetic and optical media,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of man-made fibres,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of measuring, testing, navigating and control equipment; watches and clocks",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of medical and dental instruments and supplies,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of motor vehicles,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of motor vehicles, trailers and semi-trailers",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of musical instruments,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of non-metallic mineral products n.e.c.,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of optical instruments and equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other chemical products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other electrical equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other fabricated metal products; metalworking service activities,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other food products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other non-metallic mineral products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other textiles,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of other transport equipment,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of paper and paper products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of parts and accessories for motor vehicles,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of pharmaceuticals, medicinal chemical and botanical products",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of plastics products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of prepared animal feeds,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of products of wood, cork, straw and plaiting materials",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of railway locomotives and rolling stock,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of refined petroleum products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of rubber and plastics products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of rubber products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of special-purpose machinery,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of sports goods,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of structural metal products, tanks, reservoirs and steam generators",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of textiles,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of tobacco products,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of transport equipment n.e.c.,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of vegetable and animal oils and fats,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of weapons and ammunition,1973-1974,2023-2024
EPWRF Concorded Series,manufacture of wearing apparel,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of wearing apparel, except fur apparel",1973-1974,2023-2024
EPWRF Concorded Series,manufacture of wiring and wiring devices,1973-1974,2023-2024
EPWRF Concorded Series,"manufacture of woodand of products of wood and cork,except furniture;  manufacture  of articles  of straw and  plaiting  materials",1973-1974,2023-2024
EPWRF Concorded Series,materials recovery,1973-1974,2023-2024
EPWRF Concorded Series,mining and quarrying n.e.c.,1973-1974,2023-2024
EPWRF Concorded Series,other manufacturing,1973-1974,2023-2024
EPWRF Concorded Series,other manufacturing n.e.c.,1973-1974,2023-2024
EPWRF Concorded Series,other mining and quarrying,1973-1974,2023-2024
EPWRF Concorded Series,Others,1973-1974,2023-2024
EPWRF Concorded Series,Principal Characteristics - EPWRF's Concorded Series (As per NIC-2008),1973-1974,2023-2024
EPWRF Concorded Series,"printing and reproduction of recorded media (this division excludes publishing activities, see section J for publishing activities",1973-1974,2023-2024
EPWRF Concorded Series,printing and service activities related to printing,1973-1974,2023-2024
EPWRF Concorded Series,"processing and preserving of fish, crustaceans and molluscs and products thereof",1973-1974,2023-2024
EPWRF Concorded Series,processing and preserving of fruit and vegetables,1973-1974,2023-2024
EPWRF Concorded Series,processing and preserving of meat,1973-1974,2023-2024
EPWRF Concorded Series,publishing activities,1973-1974,2023-2024
EPWRF Concorded Series,"publishing of books, periodicals and other publishing activities",1973-1974,2023-2024
EPWRF Concorded Series,repair and installation of machinery and equipment,1973-1974,2023-2024
EPWRF Concorded Series,"repair of fabricated metal products, machinery and equipment",1973-1974,2023-2024
EPWRF Concorded Series,reproduction of recorded media,1973-1974,2023-2024
EPWRF Concorded Series,saw milling and planing of wood,1973-1974,2023-2024
EPWRF Concorded Series,"spinning, weaving and finishing of textiles",1973-1974,2023-2024
EPWRF Concorded Series,support activities to agriculture and post-harvest crop activities,1973-1974,2023-2024
EPWRF Concorded Series,"tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1973-1974,2023-2024
EPWRF Concorded Series,Total,1973-1974,2023-2024
EPWRF Concorded Series,waste collection,1973-1974,2023-2024
EPWRF Concorded Series,"waste collection, treatment and disposal activities; materials recovery",1973-1974,2023-2024
EPWRF Concorded Series,Waste treatment and disposal,1973-1974,2023-2024
NIC-1998,40 & above,1998-1999,2003-2004
NIC-1998,"Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm",1998-1999,2003-2004
NIC-1998,"Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.",1998-1999,2003-2004
NIC-1998,"Agriculture, Hunting and Related Service Activities",1998-1999,2003-2004
NIC-1998,Building and repair of ships & boats,1998-1999,2003-2004
NIC-1998,Building and repairing of pleasure and sporting boats,1998-1999,2003-2004
NIC-1998,Casting of iron and steel,1998-1999,2003-2004
NIC-1998,"Casting of metals [This group includes casting finished or semi-finished products producing a variety of goods, all characteristic of other activity classes]",1998-1999,2003-2004
NIC-1998,Casting of non-ferrous metals,1998-1999,2003-2004
NIC-1998,"Cutting, shaping and finishing of stone[ includes cutting, shaping and finishing stone for use in construction, in cemeteries, on roads, as roofing and in other applications]",1998-1999,2003-2004
NIC-1998,Difference,1998-1999,2003-2004
NIC-1998,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",1998-1999,2003-2004
NIC-1998,Dressing and dyeing of fur; manufacture of articles of fur,1998-1999,2003-2004
NIC-1998,"Extraction of salt. [Includes salt mining, crushing and screening and salt production by solar evaporation of sea water, lake brine or other natural brines.]",1998-1999,2003-2004
NIC-1998,"Finishing of textile (This class includes finishing of  textiles of Class 1711 by operations such as bleaching, dyeing, calendering, napping, shrinking or printing. No distinction is to be made between these activities carried out on a fee or contract bas",1998-1999,2003-2004
NIC-1998,"Forging, pressing , stamping and roll-forming of metal; powder metallurgy",1998-1999,2003-2004
NIC-1998,"Manufacture of accumulators, primary cells and primary batteries",1998-1999,2003-2004
NIC-1998,Manufacture of agricultural and forestry machinery,1998-1999,2003-2004
NIC-1998,Manufacture of aircraft and spacecraft,1998-1999,2003-2004
NIC-1998,"Manufacture of articles of concrete, cement and plaster",1998-1999,2003-2004
NIC-1998,Manufacture of bakery products,1998-1999,2003-2004
NIC-1998,Manufacture of basic chemicals,1998-1999,2003-2004
NIC-1998,Manufacture of basic chemicals except fertilizers and nitrogen compounds,1998-1999,2003-2004
NIC-1998,Manufacture of Basic Iron & Steel,1998-1999,2003-2004
NIC-1998,Manufacture of Basic Metals,1998-1999,2003-2004
NIC-1998,Manufacture of basic precious and non-ferrous metals,1998-1999,2003-2004
NIC-1998,"Manufacture of bearings, gears, gearing and driving elements [ball and roller bearings including their parts; mechanical power transmission equipment of any material (shafts, and cranks; bearings housings; gears and gearing including friction gears; gear",1998-1999,2003-2004
NIC-1998,Manufacture of beverages,1998-1999,2003-2004
NIC-1998,Manufacture of bicycles and invalid carriages,1998-1999,2003-2004
NIC-1998,Manufacture of bodies (coach work) for motor vehicles; manufacture of trailers and semi-trailers,1998-1999,2003-2004
NIC-1998,Manufacture of builders’ carpentry and joinery,1998-1999,2003-2004
NIC-1998,Manufacture of carpet and rugs other [manufacture of linoleum and other hard surface floor coverings is classified in class 3699],1998-1999,2003-2004
NIC-1998,"Manufacture of cement, lime and plaster",1998-1999,2003-2004
NIC-1998,Manufacture of Chemicals and Products,1998-1999,2003-2004
NIC-1998,"Manufacture of cocoa, chocolate and sugar confectionery",1998-1999,2003-2004
NIC-1998,"Manufacture of coke oven products [This class includes the operation of coke ovens chiefly for the production of coke or semi -coke from hard coal and lignite,",1998-1999,2003-2004
NIC-1998,"Manufacture of coke oven products [This class includes the operation of coke ovens chiefly for the production of coke or semi -coke from hard coal and lignite,   retort carbon and residual products such as coal tar or pitch. Agglomeration of coke. Distill",1998-1999,2003-2004
NIC-1998,"Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",1998-1999,2003-2004
NIC-1998,"Manufacture of cordage, rope, twine and netting",1998-1999,2003-2004
NIC-1998,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1998-1999,2003-2004
NIC-1998,"Manufacture of cutlery, hand tools and general hardware",1998-1999,2003-2004
NIC-1998,Manufacture of dairy product [production of raw milk is classified in class 0121],1998-1999,2003-2004
NIC-1998,"Manufacture of domestic appliances, n.e.c.",1998-1999,2003-2004
NIC-1998,Manufacture of electric lamps and lighting equipment,1998-1999,2003-2004
NIC-1998,"Manufacture of electric motors, generators and transformers",1998-1999,2003-2004
NIC-1998,"Manufacture of electric motors, generators and transformers-",1998-1999,2003-2004
NIC-1998,Manufacture of Electrical Machinery and Apparatus N.E.C.,1998-1999,2003-2004
NIC-1998,"Manufacture of electricity distribution and control apparatus [electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; simila",1998-1999,2003-2004
NIC-1998,Manufacture of electronic valves and tubes and other electronic components,1998-1999,2003-2004
NIC-1998,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",1998-1999,2003-2004
NIC-1998,"Manufacture of Fabricated Metal Products, Except Machinery and Equipments",1998-1999,2003-2004
NIC-1998,Manufacture of fertilizers and nitrogen compounds,1998-1999,2003-2004
NIC-1998,Manufacture of Food Products and Beverages,1998-1999,2003-2004
NIC-1998,Manufacture of footwear,1998-1999,2003-2004
NIC-1998,Manufacture of footwear.,1998-1999,2003-2004
NIC-1998,Manufacture of furniture,1998-1999,2003-2004
NIC-1998,Manufacture of Furniture; Manufacturing N.E.C.,1998-1999,2003-2004
NIC-1998,Manufacture of games and toys,1998-1999,2003-2004
NIC-1998,Manufacture of general purpose machinery,1998-1999,2003-2004
NIC-1998,Manufacture of glass and glass products,1998-1999,2003-2004
NIC-1998,Manufacture of grain mill products [Manufacture of potato flour and meal is classified in class 1513. Production of corn oil is classified in Class 1532 ],1998-1999,2003-2004
NIC-1998,"Manufacture of grain mill products, starches and starch products, and prepared animal feeds",1998-1999,2003-2004
NIC-1998,"Manufacture of industrial process control equipment [apparatus used for automatic continuous measurement and control of variables such as temperature, pressure, viscosity and the like of materials or products as they are being manufactured or otherwise pr",1998-1999,2003-2004
NIC-1998,"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes except industrial process control equipment",1998-1999,2003-2004
NIC-1998,"Manufacture of insulated wire and cable [insulated (including enamelled or anodized) wire, cable (including coaxial cable) and other insulated conductors; insulated strip as is used in large capacity machines or control equipment; and optical fibre cables",1998-1999,2003-2004
NIC-1998,Manufacture of jewellery and related articles,1998-1999,2003-2004
NIC-1998,Manufacture of knitted and crocheted fabrics and articles,1998-1999,2003-2004
NIC-1998,"Manufacture of lifting and handling equipment [machines for mechanical handling of materials, gods of people other than over-the-road vehicles; pulley tackle and hoists; winches and capstans; jacks; derricks; cranes, including cable cranes, mobile lifting",1998-1999,2003-2004
NIC-1998,"Manufacture of luggage, handbags, and the like, saddlery and harness",1998-1999,2003-2004
NIC-1998,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1998-1999,2003-2004
NIC-1998,Manufacture of machine-tools,1998-1999,2003-2004
NIC-1998,Manufacture of Machinery and Equipments N.E.C,1998-1999,2003-2004
NIC-1998,"Manufacture of machinery for food, beverage and tobacco processing",1998-1999,2003-2004
NIC-1998,"Manufacture of machinery for metallurgy: converters, ingot moulds, ladles and casting machines; metal rolling mills and rolls for such mills.",1998-1999,2003-2004
NIC-1998,"Manufacture of machinery for mining, quarrying and construction",1998-1999,2003-2004
NIC-1998,"Manufacture of machinery for textile, apparel and leather production [This class includes manufacture of machines for preparing textile fibers, spinning machines, weaving machines (looms) auxiliary machinery, machinery for washing, bleaching, dyeing, dres",1998-1999,2003-2004
NIC-1998,"Manufacture of made-up textile articles, except apparel",1998-1999,2003-2004
NIC-1998,Manufacture of malt liquors and malt,1998-1999,2003-2004
NIC-1998,Manufacture of man-made fibers [This class includes manufacture of artificial or synthetic filament and non-filament fibers.],1998-1999,2003-2004
NIC-1998,Manufacture of medical and surgical equipment and orthopedic appliances,1998-1999,2003-2004
NIC-1998,"Manufacture of medical appliances and instruments and appliances for measuring, checking, testing, navigating and other purposes except optical instrument",1998-1999,2003-2004
NIC-1998,"Manufacture of Medical, Precision and Optical Instruments, Watches and Clocks",1998-1999,2003-2004
NIC-1998,Manufacture of motor vehicles,1998-1999,2003-2004
NIC-1998,"Manufacture of Motor Vehicles, Trailers and Semi-Trailers",1998-1999,2003-2004
NIC-1998,Manufacture of motorcycles,1998-1999,2003-2004
NIC-1998,"Manufacture of musical instruments [this class includes manufacture of keyboard stringed instruments, including automatic pianos, and other stringed instruments, keyboard pipe organs and harmoniums and similar keyboard instruments with free metal reeds, a",1998-1999,2003-2004
NIC-1998,Manufacture of non-metallic mineral products n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of non-structural non-refractory ceramic ware,1998-1999,2003-2004
NIC-1998,"Manufacture of office, accounting and computing machinery",1998-1999,2003-2004
NIC-1998,"Manufacture of office, accounting and computing machinery.",1998-1999,2003-2004
NIC-1998,Manufacture of optical instruments and photographic equipment,1998-1999,2003-2004
NIC-1998,Manufacture of other articles of paper and paperboard,1998-1999,2003-2004
NIC-1998,Manufacture of other chemical product n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of other chemical products,1998-1999,2003-2004
NIC-1998,Manufacture of other electrical equip ment n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of other fabricated metal products n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of other fabricated metal products; metal working service activities,1998-1999,2003-2004
NIC-1998,Manufacture of other food products,1998-1999,2003-2004
NIC-1998,Manufacture of other food products n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of other general purpose machinery,1998-1999,2003-2004
NIC-1998,Manufacture of Other Non-Metallic Mineral Products,1998-1999,2003-2004
NIC-1998,Manufacture of other non-metallic mineral products n.e.c.,1998-1999,2003-2004
NIC-1998,"Manufacture of other products of wood, manufacture of articles of cork, straw and plaiting materials",1998-1999,2003-2004
NIC-1998,Manufacture of other rubber products,1998-1999,2003-2004
NIC-1998,Manufacture of other special purpose machinery,1998-1999,2003-2004
NIC-1998,Manufacture of other textiles,1998-1999,2003-2004
NIC-1998,Manufacture of other textiles n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of Other Transport Equipment,1998-1999,2003-2004
NIC-1998,Manufacture of other transport equipment n.e.c.,1998-1999,2003-2004
NIC-1998,"Manufacture of ovens, furnaces and furnace burners",1998-1999,2003-2004
NIC-1998,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",1998-1999,2003-2004
NIC-1998,Manufacture of paper and paper product,1998-1999,2003-2004
NIC-1998,Manufacture of Paper and Paper Products,1998-1999,2003-2004
NIC-1998,"Manufacture of parts and accessories for motor vehicles and their engines [brakes, gear boxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, steering wheels, steering columns and steering boxes and other parts and ac",1998-1999,2003-2004
NIC-1998,Manufacture of pesticides and other agro chemical products,1998-1999,2003-2004
NIC-1998,"Manufacture of pharmaceuticals, medicinal chemicals and botanical products",1998-1999,2003-2004
NIC-1998,Manufacture of plastic products,1998-1999,2003-2004
NIC-1998,Manufacture of plastics in primary forms and of synthetic rubber.,1998-1999,2003-2004
NIC-1998,Manufacture of prepared animal feeds,1998-1999,2003-2004
NIC-1998,"Manufacture of products of wood, cork, straw and plaiting materials",1998-1999,2003-2004
NIC-1998,"Manufacture of pulp, paper and paper board",1998-1999,2003-2004
NIC-1998,"Manufacture of pumps, compressors, taps and valves [hydraulic power engines and motors; pumps for liquids whether or not fitted with measuring devices, including hand pumps and pumps designed for fitting to internal-combustion piston engines etc.; air or",1998-1999,2003-2004
NIC-1998,"Manufacture of Radio, Television and Communication Equipments and Apparatus",1998-1999,2003-2004
NIC-1998,Manufacture of railway and tramway locomotives and rolling stock,1998-1999,2003-2004
NIC-1998,Manufacture of refined petroleum products,1998-1999,2003-2004
NIC-1998,Manufacture of refractory ceramic products,1998-1999,2003-2004
NIC-1998,Manufacture of Rubber and Plastic Products,1998-1999,2003-2004
NIC-1998,Manufacture of rubber products,1998-1999,2003-2004
NIC-1998,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,1998-1999,2003-2004
NIC-1998,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1998-1999,2003-2004
NIC-1998,Manufacture of soft drinks; production of mineral waters,1998-1999,2003-2004
NIC-1998,Manufacture of special purpose machinery,1998-1999,2003-2004
NIC-1998,Manufacture of sports goods,1998-1999,2003-2004
NIC-1998,Manufacture of starches and starch products,1998-1999,2003-2004
NIC-1998,"Manufacture of steam generators, except central heating hot water boilers",1998-1999,2003-2004
NIC-1998,Manufacture of structural metal products,1998-1999,2003-2004
NIC-1998,"Manufacture of structural metal products, tanks, reservoirs and steam generators",1998-1999,2003-2004
NIC-1998,Manufacture of structural non-refractory clay and ceramic products,1998-1999,2003-2004
NIC-1998,Manufacture of sugar [manufacture of glucose and other sugars made from starches is classified in class 1532],1998-1999,2003-2004
NIC-1998,"Manufacture of tanks, reservoirs and containers of metal [ includes manufacture of containers of metal for compressed or liquified gas. Also includes manufacture of central heating boilers and radiators. Manufacture of reservoirs, tanks and similar contai",1998-1999,2003-2004
NIC-1998,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus, and associated goods",1998-1999,2003-2004
NIC-1998,Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy,1998-1999,2003-2004
NIC-1998,Manufacture of Textiles,1998-1999,2003-2004
NIC-1998,Manufacture of Tobacco Products,1998-1999,2003-2004
NIC-1998,Manufacture of tobacco products [ tobacco related products are also included while preliminary processing of tobacco leaves is classified in class 0111],1998-1999,2003-2004
NIC-1998,Manufacture of transport equipment n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacture of vegetable and animal oils and fats [Wet corn milling and production of corn oil is classified in Class 1532 and treatment of oils and fats by chemical processing is classified in Class 2429],1998-1999,2003-2004
NIC-1998,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards",1998-1999,2003-2004
NIC-1998,Manufacture of watches and clocks,1998-1999,2003-2004
NIC-1998,"Manufacture of weapons and ammunition [includes tanks and other fighting vehicles; heavy weapons, artillery, mobile guns; small arms such as light machine guns, rifles; air or gas guns and pistols; firearms which fire blank cartridges, signal flares, capt",1998-1999,2003-2004
NIC-1998,Manufacture of Wearing Apparel Dressing and Dyeing of Fur,1998-1999,2003-2004
NIC-1998,"Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit.  Both regular and contract activities are included]",1998-1999,2003-2004
NIC-1998,"Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Both regular and contract activities are included]",1998-1999,2003-2004
NIC-1998,"Manufacture of wearing apparel, except fur apparel [this class includes manufacture of wearing apparel made of material not made in the same unit. Dressing and dyeing of fur; manufacture of articles of fur",1998-1999,2003-2004
NIC-1998,Manufacture of wines,1998-1999,2003-2004
NIC-1998,"Manufacture of Wood and Products of Wood and Cork, Except Furniture, Manufacture of Articles of Straw and Plating Materials",1998-1999,2003-2004
NIC-1998,Manufacturing n.e.c.,1998-1999,2003-2004
NIC-1998,Manufacturing of wooden containers,1998-1999,2003-2004
NIC-1998,"Mining and quarrying , n.e.c.",1998-1999,2003-2004
NIC-1998,Other manufacturing n.e.c.,1998-1999,2003-2004
NIC-1998,Other Mining and Quarrying,1998-1999,2003-2004
NIC-1998,Others,1998-1999,2003-2004
NIC-1998,Preparation and spinning of textile fiber including weaving of textiles (excluding khadi/handloom),1998-1999,2003-2004
NIC-1998,"Printing [Includes printing of newspapers, magazines, periodicals, journals and other material for others on a fee or contract basis]",1998-1999,2003-2004
NIC-1998,Printing and service activities related to printing,1998-1999,2003-2004
NIC-1998,Processing and preserving of fish and fish products [fishing and processing of the catch aboard the fisher boats are classified in class 0500 whereas activities of  vessels engaged only processing and preserving are classified under this class],1998-1999,2003-2004
NIC-1998,"Processing and preserving of fruit, vegetables",1998-1999,2003-2004
NIC-1998,"Production, processing and preservation of meat, fish, fruit vegetables, oils and fats",1998-1999,2003-2004
NIC-1998,"Production, processing and preserving of meat and meat products.",1998-1999,2003-2004
NIC-1998,"Publishing [This group includes publishing whether or not connected with printing. Publishing involves financial, technical, artistic, legal and marketing activities, among others but not predominantly]",1998-1999,2003-2004
NIC-1998,"Publishing of books, brochures, musical books and other publications.",1998-1999,2003-2004
NIC-1998,"Publishing of newspapers, journals and periodicals [includes periodicals of technical or general contents, trade journals, comics etc.]",1998-1999,2003-2004
NIC-1998,"Publishing, Printing and Reproduction of Recorded Media",1998-1999,2003-2004
NIC-1998,Recycling,1998-1999,2003-2004
NIC-1998,Recycling of metal waste and scrap,1998-1999,2003-2004
NIC-1998,Recycling of non-metal waste and scrap,1998-1999,2003-2004
NIC-1998,"Reproduction of recorded media [This class includes reproduction of records, audio, video and computer tapes from master copies, reproduction of floppy, hard or compact disks, reproduction of non-customised software and film duplicating]",1998-1999,2003-2004
NIC-1998,Saw milling and planing of wood,1998-1999,2003-2004
NIC-1998,Service activities related to printing,1998-1999,2003-2004
NIC-1998,"Spinning, weaving and finishing of textiles",1998-1999,2003-2004
NIC-1998,Tanning and dressing of leather,1998-1999,2003-2004
NIC-1998,"Tanning and Dressing of Leather Manufacture of Luggage, Handsbages, Saddlery, Harness and Footwear",1998-1999,2003-2004
NIC-1998,"Tanning and dressing of leather, manufacture of luggage handbags, saddlery & harness",1998-1999,2003-2004
NIC-1998,Temp1,1998-1999,2003-2004
NIC-1998,Temp2,1998-1999,2003-2004
NIC-1998,Total,1998-1999,2003-2004
NIC-1998,Treatment and coating of metals; general mechanical engineering on a fee or contract basis,1998-1999,2003-2004
NIC-2004,"Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm",2004-2005,2007-2008
NIC-2004,"Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.",2004-2005,2007-2008
NIC-2004,"Agriculture, Hunting and Related Service Activities",2004-2005,2007-2008
NIC-2004,Building and repair of ships & boats,2004-2005,2007-2008
NIC-2004,Building and repairing of pleasure and sporting boats,2004-2005,2007-2008
NIC-2004,Casting of iron and steel,2004-2005,2007-2008
NIC-2004,"Casting of metals [This group includes casting finished or semi-finished products producing a variety of goods, all characteristic of other activity classes]",2004-2005,2007-2008
NIC-2004,Casting of non-ferrous metals,2004-2005,2007-2008
NIC-2004,"Cutting, shaping and finishing of stone[ includes cutting, shaping and finishing stone for use in construction, in cemeteries, on roads, as roofing and in other applications]",2004-2005,2007-2008
NIC-2004,Difference,2004-2005,2007-2008
NIC-2004,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",2004-2005,2007-2008
NIC-2004,Dressing and dyeing of fur; manufacture of articles of fur,2004-2005,2007-2008
NIC-2004,"Embroidery work, zari work and making of ornamental trimmings by hand",2004-2005,2007-2008
NIC-2004,"Extraction of salt. [Includes salt mining, crushing and screening and salt production by solar evaporation of sea water, lake brine or other natural brines.]",2004-2005,2007-2008
NIC-2004,"Finishing of textile (This class includes finishing of  textiles of Class 1711 by operations such as bleaching, dyeing, calendering, napping, shrinking or printing. No distinction is to be made between these activities carried out on a fee or contract bas",2004-2005,2007-2008
NIC-2004,Finishing of textiles (khadi/handloom),2004-2005,2007-2008
NIC-2004,"Forging, pressing , stamping and roll-forming of metal; powder metallurgy",2004-2005,2007-2008
NIC-2004,"Manufacture of accumulators, primary cells and primary batteries",2004-2005,2007-2008
NIC-2004,Manufacture of agricultural and forestry machinery,2004-2005,2007-2008
NIC-2004,Manufacture of aircraft and spacecraft,2004-2005,2007-2008
