Year,State,Variable_ID,Variable,Value
1980 - 1981,West Bengal,50,Addition Stock Finished,99.0
1981 - 1982,Andaman & Nicobar Islands,50,Addition Stock Finished,
1981 - 1982,Andhra Pradesh,50,Addition Stock Finished,9.0
1981 - 1982,Arunachal Pradesh,50,Addition Stock Finished,
1981 - 1982,Assam,50,Addition Stock Finished,0.0
1981 - 1982,Bihar,50,Addition Stock Finished,5.0
1981 - 1982,Chandigarh,50,Addition Stock Finished,
1981 - 1982,Chhattisgarh,50,Addition Stock Finished,
1981 - 1982,Dadra & Nagar Haveli,50,Addition Stock Finished,
1981 - 1982,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1981 - 1982,Daman & Diu,50,Addition Stock Finished,
1981 - 1982,Delhi,50,Addition Stock Finished,281.0
1981 - 1982,Goa,50,Addition Stock Finished,
1981 - 1982,"Goa, Daman & Diu",50,Addition Stock Finished,3.0
1981 - 1982,Gujarat,50,Addition Stock Finished,147.0
1981 - 1982,Haryana,50,Addition Stock Finished,5.0
1981 - 1982,Himachal Pradesh,50,Addition Stock Finished,
1981 - 1982,Jammu & Kashmir,50,Addition Stock Finished,
1981 - 1982,Jharkhand,50,Addition Stock Finished,
1981 - 1982,Karnataka,50,Addition Stock Finished,145.0
1981 - 1982,Kerala,50,Addition Stock Finished,18.0
1981 - 1982,Ladakh,50,Addition Stock Finished,
1981 - 1982,Lakshadweep,50,Addition Stock Finished,
1981 - 1982,Madhya Pradesh,50,Addition Stock Finished,18.0
1981 - 1982,Maharashtra,50,Addition Stock Finished,602.0
1981 - 1982,Manipur,50,Addition Stock Finished,
1981 - 1982,Meghalaya,50,Addition Stock Finished,
1981 - 1982,Mizoram,50,Addition Stock Finished,
1981 - 1982,Nagaland,50,Addition Stock Finished,0.0
1981 - 1982,Orissa,50,Addition Stock Finished,
1981 - 1982,Puducherry,50,Addition Stock Finished,0.0
1981 - 1982,Punjab,50,Addition Stock Finished,277.0
1981 - 1982,Rajasthan,50,Addition Stock Finished,15.0
1981 - 1982,Sikkim,50,Addition Stock Finished,
1981 - 1982,Tamil Nadu,50,Addition Stock Finished,366.0
1981 - 1982,Telangana,50,Addition Stock Finished,
1981 - 1982,Tripura,50,Addition Stock Finished,
1981 - 1982,Uttar Pradesh,50,Addition Stock Finished,30.0
1981 - 1982,Uttarakhand,50,Addition Stock Finished,
1981 - 1982,West Bengal,50,Addition Stock Finished,106.0
1982 - 1983,Andaman & Nicobar Islands,50,Addition Stock Finished,
1982 - 1983,Andhra Pradesh,50,Addition Stock Finished,5.0
1982 - 1983,Arunachal Pradesh,50,Addition Stock Finished,
1982 - 1983,Assam,50,Addition Stock Finished,0.0
1982 - 1983,Bihar,50,Addition Stock Finished,3.0
1982 - 1983,Chandigarh,50,Addition Stock Finished,
1982 - 1983,Chhattisgarh,50,Addition Stock Finished,
1982 - 1983,Dadra & Nagar Haveli,50,Addition Stock Finished,
1982 - 1983,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1982 - 1983,Daman & Diu,50,Addition Stock Finished,
1982 - 1983,Delhi,50,Addition Stock Finished,266.0
1982 - 1983,Goa,50,Addition Stock Finished,
1982 - 1983,"Goa, Daman & Diu",50,Addition Stock Finished,4.0
1982 - 1983,Gujarat,50,Addition Stock Finished,114.0
1982 - 1983,Haryana,50,Addition Stock Finished,3.0
1982 - 1983,Himachal Pradesh,50,Addition Stock Finished,
1982 - 1983,Jammu & Kashmir,50,Addition Stock Finished,
1982 - 1983,Jharkhand,50,Addition Stock Finished,
1982 - 1983,Karnataka,50,Addition Stock Finished,118.0
1982 - 1983,Kerala,50,Addition Stock Finished,18.0
1982 - 1983,Ladakh,50,Addition Stock Finished,
1982 - 1983,Lakshadweep,50,Addition Stock Finished,
1982 - 1983,Madhya Pradesh,50,Addition Stock Finished,16.0
1982 - 1983,Maharashtra,50,Addition Stock Finished,466.0
1982 - 1983,Manipur,50,Addition Stock Finished,
1982 - 1983,Meghalaya,50,Addition Stock Finished,
1982 - 1983,Mizoram,50,Addition Stock Finished,
1982 - 1983,Nagaland,50,Addition Stock Finished,0.0
1982 - 1983,Orissa,50,Addition Stock Finished,
1982 - 1983,Puducherry,50,Addition Stock Finished,0.0
1982 - 1983,Punjab,50,Addition Stock Finished,210.0
1982 - 1983,Rajasthan,50,Addition Stock Finished,18.0
1982 - 1983,Sikkim,50,Addition Stock Finished,
1982 - 1983,Tamil Nadu,50,Addition Stock Finished,384.0
1982 - 1983,Telangana,50,Addition Stock Finished,
1982 - 1983,Tripura,50,Addition Stock Finished,
1982 - 1983,Uttar Pradesh,50,Addition Stock Finished,35.0
1982 - 1983,Uttarakhand,50,Addition Stock Finished,
1982 - 1983,West Bengal,50,Addition Stock Finished,82.0
1983 - 1984,Andaman & Nicobar Islands,50,Addition Stock Finished,
1983 - 1984,Andhra Pradesh,50,Addition Stock Finished,13.0
1983 - 1984,Arunachal Pradesh,50,Addition Stock Finished,
1983 - 1984,Assam,50,Addition Stock Finished,0.0
1983 - 1984,Bihar,50,Addition Stock Finished,0.0
1983 - 1984,Chandigarh,50,Addition Stock Finished,
1983 - 1984,Chhattisgarh,50,Addition Stock Finished,
1983 - 1984,Dadra & Nagar Haveli,50,Addition Stock Finished,
1983 - 1984,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1983 - 1984,Daman & Diu,50,Addition Stock Finished,
1983 - 1984,Delhi,50,Addition Stock Finished,344.0
1983 - 1984,Goa,50,Addition Stock Finished,
1983 - 1984,"Goa, Daman & Diu",50,Addition Stock Finished,4.0
1983 - 1984,Gujarat,50,Addition Stock Finished,113.0
1983 - 1984,Haryana,50,Addition Stock Finished,3.0
1983 - 1984,Himachal Pradesh,50,Addition Stock Finished,
1983 - 1984,Jammu & Kashmir,50,Addition Stock Finished,
1983 - 1984,Jharkhand,50,Addition Stock Finished,
1983 - 1984,Karnataka,50,Addition Stock Finished,109.0
1983 - 1984,Kerala,50,Addition Stock Finished,17.0
1983 - 1984,Ladakh,50,Addition Stock Finished,
1983 - 1984,Lakshadweep,50,Addition Stock Finished,
1983 - 1984,Madhya Pradesh,50,Addition Stock Finished,21.0
1983 - 1984,Maharashtra,50,Addition Stock Finished,441.0
1983 - 1984,Manipur,50,Addition Stock Finished,
1983 - 1984,Meghalaya,50,Addition Stock Finished,
1983 - 1984,Mizoram,50,Addition Stock Finished,
1983 - 1984,Nagaland,50,Addition Stock Finished,0.0
1983 - 1984,Orissa,50,Addition Stock Finished,3.0
1983 - 1984,Puducherry,50,Addition Stock Finished,0.0
1983 - 1984,Punjab,50,Addition Stock Finished,253.0
1983 - 1984,Rajasthan,50,Addition Stock Finished,13.0
1983 - 1984,Sikkim,50,Addition Stock Finished,
1983 - 1984,Tamil Nadu,50,Addition Stock Finished,357.0
1983 - 1984,Telangana,50,Addition Stock Finished,
1983 - 1984,Tripura,50,Addition Stock Finished,
1983 - 1984,Uttar Pradesh,50,Addition Stock Finished,50.0
1983 - 1984,Uttarakhand,50,Addition Stock Finished,
1983 - 1984,West Bengal,50,Addition Stock Finished,73.0
1984 - 1985,Andaman & Nicobar Islands,50,Addition Stock Finished,
1984 - 1985,Andhra Pradesh,50,Addition Stock Finished,6.0
1984 - 1985,Arunachal Pradesh,50,Addition Stock Finished,
1984 - 1985,Assam,50,Addition Stock Finished,0.0
1984 - 1985,Bihar,50,Addition Stock Finished,3.0
1984 - 1985,Chandigarh,50,Addition Stock Finished,
1984 - 1985,Chhattisgarh,50,Addition Stock Finished,
1984 - 1985,Dadra & Nagar Haveli,50,Addition Stock Finished,
1984 - 1985,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1984 - 1985,Daman & Diu,50,Addition Stock Finished,
1984 - 1985,Delhi,50,Addition Stock Finished,323.0
1984 - 1985,Goa,50,Addition Stock Finished,
1984 - 1985,"Goa, Daman & Diu",50,Addition Stock Finished,3.0
1984 - 1985,Gujarat,50,Addition Stock Finished,117.0
1984 - 1985,Haryana,50,Addition Stock Finished,3.0
1984 - 1985,Himachal Pradesh,50,Addition Stock Finished,
1984 - 1985,Jammu & Kashmir,50,Addition Stock Finished,
1984 - 1985,Jharkhand,50,Addition Stock Finished,
1984 - 1985,Karnataka,50,Addition Stock Finished,103.0
1984 - 1985,Kerala,50,Addition Stock Finished,14.0
1984 - 1985,Ladakh,50,Addition Stock Finished,
1984 - 1985,Lakshadweep,50,Addition Stock Finished,
1984 - 1985,Madhya Pradesh,50,Addition Stock Finished,22.0
1984 - 1985,Maharashtra,50,Addition Stock Finished,511.0
1984 - 1985,Manipur,50,Addition Stock Finished,
1984 - 1985,Meghalaya,50,Addition Stock Finished,
1984 - 1985,Mizoram,50,Addition Stock Finished,
1984 - 1985,Nagaland,50,Addition Stock Finished,0.0
1984 - 1985,Orissa,50,Addition Stock Finished,
1984 - 1985,Puducherry,50,Addition Stock Finished,0.0
1984 - 1985,Punjab,50,Addition Stock Finished,290.0
1984 - 1985,Rajasthan,50,Addition Stock Finished,15.0
1984 - 1985,Sikkim,50,Addition Stock Finished,
1984 - 1985,Tamil Nadu,50,Addition Stock Finished,655.0
1984 - 1985,Telangana,50,Addition Stock Finished,
1984 - 1985,Tripura,50,Addition Stock Finished,
1984 - 1985,Uttar Pradesh,50,Addition Stock Finished,41.0
1984 - 1985,Uttarakhand,50,Addition Stock Finished,
1984 - 1985,West Bengal,50,Addition Stock Finished,69.0
1985 - 1986,Andaman & Nicobar Islands,50,Addition Stock Finished,
1985 - 1986,Andhra Pradesh,50,Addition Stock Finished,17.0
1985 - 1986,Arunachal Pradesh,50,Addition Stock Finished,
1985 - 1986,Assam,50,Addition Stock Finished,0.0
1985 - 1986,Bihar,50,Addition Stock Finished,0.0
1985 - 1986,Chandigarh,50,Addition Stock Finished,
1985 - 1986,Chhattisgarh,50,Addition Stock Finished,
1985 - 1986,Dadra & Nagar Haveli,50,Addition Stock Finished,
1985 - 1986,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1985 - 1986,Daman & Diu,50,Addition Stock Finished,
1985 - 1986,Delhi,50,Addition Stock Finished,304.0
1985 - 1986,Goa,50,Addition Stock Finished,
1985 - 1986,"Goa, Daman & Diu",50,Addition Stock Finished,3.0
1985 - 1986,Gujarat,50,Addition Stock Finished,125.0
1985 - 1986,Haryana,50,Addition Stock Finished,4.0
1985 - 1986,Himachal Pradesh,50,Addition Stock Finished,
1985 - 1986,Jammu & Kashmir,50,Addition Stock Finished,
1985 - 1986,Jharkhand,50,Addition Stock Finished,
1985 - 1986,Karnataka,50,Addition Stock Finished,97.0
1985 - 1986,Kerala,50,Addition Stock Finished,17.0
1985 - 1986,Ladakh,50,Addition Stock Finished,
1985 - 1986,Lakshadweep,50,Addition Stock Finished,
1985 - 1986,Madhya Pradesh,50,Addition Stock Finished,22.0
1985 - 1986,Maharashtra,50,Addition Stock Finished,518.0
1985 - 1986,Manipur,50,Addition Stock Finished,
1985 - 1986,Meghalaya,50,Addition Stock Finished,
1985 - 1986,Mizoram,50,Addition Stock Finished,
1985 - 1986,Nagaland,50,Addition Stock Finished,0.0
1985 - 1986,Orissa,50,Addition Stock Finished,4.0
1985 - 1986,Puducherry,50,Addition Stock Finished,0.0
1985 - 1986,Punjab,50,Addition Stock Finished,320.0
1985 - 1986,Rajasthan,50,Addition Stock Finished,21.0
1985 - 1986,Sikkim,50,Addition Stock Finished,
1985 - 1986,Tamil Nadu,50,Addition Stock Finished,448.0
1985 - 1986,Telangana,50,Addition Stock Finished,
1985 - 1986,Tripura,50,Addition Stock Finished,
1985 - 1986,Uttar Pradesh,50,Addition Stock Finished,64.0
1985 - 1986,Uttarakhand,50,Addition Stock Finished,
1985 - 1986,West Bengal,50,Addition Stock Finished,87.0
1986 - 1987,Andaman & Nicobar Islands,50,Addition Stock Finished,
1986 - 1987,Andhra Pradesh,50,Addition Stock Finished,10.0
1986 - 1987,Arunachal Pradesh,50,Addition Stock Finished,
1986 - 1987,Assam,50,Addition Stock Finished,0.0
1986 - 1987,Bihar,50,Addition Stock Finished,3.0
1986 - 1987,Chandigarh,50,Addition Stock Finished,
1986 - 1987,Chhattisgarh,50,Addition Stock Finished,
1986 - 1987,Dadra & Nagar Haveli,50,Addition Stock Finished,
1986 - 1987,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1986 - 1987,Daman & Diu,50,Addition Stock Finished,
1986 - 1987,Delhi,50,Addition Stock Finished,304.0
1986 - 1987,Goa,50,Addition Stock Finished,
1986 - 1987,"Goa, Daman & Diu",50,Addition Stock Finished,5.0
1986 - 1987,Gujarat,50,Addition Stock Finished,123.0
1986 - 1987,Haryana,50,Addition Stock Finished,5.0
1986 - 1987,Himachal Pradesh,50,Addition Stock Finished,
1986 - 1987,Jammu & Kashmir,50,Addition Stock Finished,9.0
1986 - 1987,Jharkhand,50,Addition Stock Finished,
1986 - 1987,Karnataka,50,Addition Stock Finished,101.0
1986 - 1987,Kerala,50,Addition Stock Finished,12.0
1986 - 1987,Ladakh,50,Addition Stock Finished,
1986 - 1987,Lakshadweep,50,Addition Stock Finished,
1986 - 1987,Madhya Pradesh,50,Addition Stock Finished,19.0
1986 - 1987,Maharashtra,50,Addition Stock Finished,533.0
1986 - 1987,Manipur,50,Addition Stock Finished,
1986 - 1987,Meghalaya,50,Addition Stock Finished,
1986 - 1987,Mizoram,50,Addition Stock Finished,
1986 - 1987,Nagaland,50,Addition Stock Finished,0.0
1986 - 1987,Orissa,50,Addition Stock Finished,
1986 - 1987,Puducherry,50,Addition Stock Finished,0.0
1986 - 1987,Punjab,50,Addition Stock Finished,308.0
1986 - 1987,Rajasthan,50,Addition Stock Finished,19.0
1986 - 1987,Sikkim,50,Addition Stock Finished,
1986 - 1987,Tamil Nadu,50,Addition Stock Finished,480.0
1986 - 1987,Telangana,50,Addition Stock Finished,
1986 - 1987,Tripura,50,Addition Stock Finished,
1986 - 1987,Uttar Pradesh,50,Addition Stock Finished,49.0
1986 - 1987,Uttarakhand,50,Addition Stock Finished,
1986 - 1987,West Bengal,50,Addition Stock Finished,69.0
1987 - 1988,Andaman & Nicobar Islands,50,Addition Stock Finished,
1987 - 1988,Andhra Pradesh,50,Addition Stock Finished,20.0
1987 - 1988,Arunachal Pradesh,50,Addition Stock Finished,
1987 - 1988,Assam,50,Addition Stock Finished,0.0
1987 - 1988,Bihar,50,Addition Stock Finished,4.0
1987 - 1988,Chandigarh,50,Addition Stock Finished,
1987 - 1988,Chhattisgarh,50,Addition Stock Finished,
1987 - 1988,Dadra & Nagar Haveli,50,Addition Stock Finished,
1987 - 1988,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1987 - 1988,Daman & Diu,50,Addition Stock Finished,
1987 - 1988,Delhi,50,Addition Stock Finished,472.0
1987 - 1988,Goa,50,Addition Stock Finished,
1987 - 1988,"Goa, Daman & Diu",50,Addition Stock Finished,5.0
1987 - 1988,Gujarat,50,Addition Stock Finished,146.0
1987 - 1988,Haryana,50,Addition Stock Finished,4.0
1987 - 1988,Himachal Pradesh,50,Addition Stock Finished,
1987 - 1988,Jammu & Kashmir,50,Addition Stock Finished,4.0
1987 - 1988,Jharkhand,50,Addition Stock Finished,
1987 - 1988,Karnataka,50,Addition Stock Finished,96.0
1987 - 1988,Kerala,50,Addition Stock Finished,27.0
1987 - 1988,Ladakh,50,Addition Stock Finished,
1987 - 1988,Lakshadweep,50,Addition Stock Finished,
1987 - 1988,Madhya Pradesh,50,Addition Stock Finished,17.0
1987 - 1988,Maharashtra,50,Addition Stock Finished,412.0
1987 - 1988,Manipur,50,Addition Stock Finished,
1987 - 1988,Meghalaya,50,Addition Stock Finished,
1987 - 1988,Mizoram,50,Addition Stock Finished,
1987 - 1988,Nagaland,50,Addition Stock Finished,0.0
1987 - 1988,Orissa,50,Addition Stock Finished,4.0
1987 - 1988,Puducherry,50,Addition Stock Finished,5.0
1987 - 1988,Punjab,50,Addition Stock Finished,354.0
1987 - 1988,Rajasthan,50,Addition Stock Finished,17.0
1987 - 1988,Sikkim,50,Addition Stock Finished,
1987 - 1988,Tamil Nadu,50,Addition Stock Finished,541.0
1987 - 1988,Telangana,50,Addition Stock Finished,
1987 - 1988,Tripura,50,Addition Stock Finished,
1987 - 1988,Uttar Pradesh,50,Addition Stock Finished,72.0
1987 - 1988,Uttarakhand,50,Addition Stock Finished,
1987 - 1988,West Bengal,50,Addition Stock Finished,76.0
1988 - 1989,Andaman & Nicobar Islands,50,Addition Stock Finished,
1988 - 1989,Andhra Pradesh,50,Addition Stock Finished,14.0
1988 - 1989,Arunachal Pradesh,50,Addition Stock Finished,
1988 - 1989,Assam,50,Addition Stock Finished,0.0
1988 - 1989,Bihar,50,Addition Stock Finished,4.0
1988 - 1989,Chandigarh,50,Addition Stock Finished,
1988 - 1989,Chhattisgarh,50,Addition Stock Finished,
1988 - 1989,Dadra & Nagar Haveli,50,Addition Stock Finished,
1988 - 1989,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1988 - 1989,Daman & Diu,50,Addition Stock Finished,
1988 - 1989,Delhi,50,Addition Stock Finished,356.0
1988 - 1989,Goa,50,Addition Stock Finished,
1988 - 1989,"Goa, Daman & Diu",50,Addition Stock Finished,6.0
1988 - 1989,Gujarat,50,Addition Stock Finished,140.0
1988 - 1989,Haryana,50,Addition Stock Finished,9.0
1988 - 1989,Himachal Pradesh,50,Addition Stock Finished,
1988 - 1989,Jammu & Kashmir,50,Addition Stock Finished,3.0
1988 - 1989,Jharkhand,50,Addition Stock Finished,
1988 - 1989,Karnataka,50,Addition Stock Finished,125.0
1988 - 1989,Kerala,50,Addition Stock Finished,13.0
1988 - 1989,Ladakh,50,Addition Stock Finished,
1988 - 1989,Lakshadweep,50,Addition Stock Finished,
1988 - 1989,Madhya Pradesh,50,Addition Stock Finished,28.0
1988 - 1989,Maharashtra,50,Addition Stock Finished,576.0
1988 - 1989,Manipur,50,Addition Stock Finished,
1988 - 1989,Meghalaya,50,Addition Stock Finished,
1988 - 1989,Mizoram,50,Addition Stock Finished,
1988 - 1989,Nagaland,50,Addition Stock Finished,0.0
1988 - 1989,Orissa,50,Addition Stock Finished,3.0
1988 - 1989,Puducherry,50,Addition Stock Finished,3.0
1988 - 1989,Punjab,50,Addition Stock Finished,351.0
1988 - 1989,Rajasthan,50,Addition Stock Finished,26.0
1988 - 1989,Sikkim,50,Addition Stock Finished,
1988 - 1989,Tamil Nadu,50,Addition Stock Finished,560.0
1988 - 1989,Telangana,50,Addition Stock Finished,
1988 - 1989,Tripura,50,Addition Stock Finished,
1988 - 1989,Uttar Pradesh,50,Addition Stock Finished,100.0
1988 - 1989,Uttarakhand,50,Addition Stock Finished,
1988 - 1989,West Bengal,50,Addition Stock Finished,77.0
1989 - 1990,Andaman & Nicobar Islands,50,Addition Stock Finished,
1989 - 1990,Andhra Pradesh,50,Addition Stock Finished,25.0
1989 - 1990,Arunachal Pradesh,50,Addition Stock Finished,
1989 - 1990,Assam,50,Addition Stock Finished,
1989 - 1990,Bihar,50,Addition Stock Finished,8.0
1989 - 1990,Chandigarh,50,Addition Stock Finished,
1989 - 1990,Chhattisgarh,50,Addition Stock Finished,
1989 - 1990,Dadra & Nagar Haveli,50,Addition Stock Finished,
1989 - 1990,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1989 - 1990,Daman & Diu,50,Addition Stock Finished,
1989 - 1990,Delhi,50,Addition Stock Finished,366.0
1989 - 1990,Goa,50,Addition Stock Finished,7.0
1989 - 1990,"Goa, Daman & Diu",50,Addition Stock Finished,
1989 - 1990,Gujarat,50,Addition Stock Finished,111.0
1989 - 1990,Haryana,50,Addition Stock Finished,14.0
1989 - 1990,Himachal Pradesh,50,Addition Stock Finished,0.0
1989 - 1990,Jammu & Kashmir,50,Addition Stock Finished,4.0
1989 - 1990,Jharkhand,50,Addition Stock Finished,
1989 - 1990,Karnataka,50,Addition Stock Finished,157.0
1989 - 1990,Kerala,50,Addition Stock Finished,13.0
1989 - 1990,Ladakh,50,Addition Stock Finished,
1989 - 1990,Lakshadweep,50,Addition Stock Finished,
1989 - 1990,Madhya Pradesh,50,Addition Stock Finished,17.0
1989 - 1990,Maharashtra,50,Addition Stock Finished,517.0
1989 - 1990,Manipur,50,Addition Stock Finished,
1989 - 1990,Meghalaya,50,Addition Stock Finished,
1989 - 1990,Mizoram,50,Addition Stock Finished,
1989 - 1990,Nagaland,50,Addition Stock Finished,
1989 - 1990,Orissa,50,Addition Stock Finished,7.0
1989 - 1990,Puducherry,50,Addition Stock Finished,
1989 - 1990,Punjab,50,Addition Stock Finished,401.0
1989 - 1990,Rajasthan,50,Addition Stock Finished,3.0
1989 - 1990,Sikkim,50,Addition Stock Finished,
1989 - 1990,Tamil Nadu,50,Addition Stock Finished,683.0
1989 - 1990,Telangana,50,Addition Stock Finished,
1989 - 1990,Tripura,50,Addition Stock Finished,
1989 - 1990,Uttar Pradesh,50,Addition Stock Finished,94.0
1989 - 1990,Uttarakhand,50,Addition Stock Finished,
1989 - 1990,West Bengal,50,Addition Stock Finished,47.0
1991 - 1992,Andaman & Nicobar Islands,50,Addition Stock Finished,
1991 - 1992,Andhra Pradesh,50,Addition Stock Finished,24.0
1991 - 1992,Arunachal Pradesh,50,Addition Stock Finished,
1991 - 1992,Assam,50,Addition Stock Finished,
1991 - 1992,Bihar,50,Addition Stock Finished,3.0
1991 - 1992,Chandigarh,50,Addition Stock Finished,
1991 - 1992,Chhattisgarh,50,Addition Stock Finished,
1991 - 1992,Dadra & Nagar Haveli,50,Addition Stock Finished,
1991 - 1992,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1991 - 1992,Daman & Diu,50,Addition Stock Finished,
1991 - 1992,Delhi,50,Addition Stock Finished,434.0
1991 - 1992,Goa,50,Addition Stock Finished,10.0
1991 - 1992,"Goa, Daman & Diu",50,Addition Stock Finished,
1991 - 1992,Gujarat,50,Addition Stock Finished,112.0
1991 - 1992,Haryana,50,Addition Stock Finished,12.0
1991 - 1992,Himachal Pradesh,50,Addition Stock Finished,3.0
1991 - 1992,Jammu & Kashmir,50,Addition Stock Finished,4.0
1991 - 1992,Jharkhand,50,Addition Stock Finished,
1991 - 1992,Karnataka,50,Addition Stock Finished,234.0
1991 - 1992,Kerala,50,Addition Stock Finished,14.0
1991 - 1992,Ladakh,50,Addition Stock Finished,
1991 - 1992,Lakshadweep,50,Addition Stock Finished,
1991 - 1992,Madhya Pradesh,50,Addition Stock Finished,15.0
1991 - 1992,Maharashtra,50,Addition Stock Finished,593.0
1991 - 1992,Manipur,50,Addition Stock Finished,
1991 - 1992,Meghalaya,50,Addition Stock Finished,
1991 - 1992,Mizoram,50,Addition Stock Finished,
1991 - 1992,Nagaland,50,Addition Stock Finished,
1991 - 1992,Orissa,50,Addition Stock Finished,5.0
1991 - 1992,Puducherry,50,Addition Stock Finished,
1991 - 1992,Punjab,50,Addition Stock Finished,477.0
1991 - 1992,Rajasthan,50,Addition Stock Finished,25.0
1991 - 1992,Sikkim,50,Addition Stock Finished,
1991 - 1992,Tamil Nadu,50,Addition Stock Finished,875.0
1991 - 1992,Telangana,50,Addition Stock Finished,
1991 - 1992,Tripura,50,Addition Stock Finished,
1991 - 1992,Uttar Pradesh,50,Addition Stock Finished,130.0
1991 - 1992,Uttarakhand,50,Addition Stock Finished,
1991 - 1992,West Bengal,50,Addition Stock Finished,40.0
1992 - 1993,Andaman & Nicobar Islands,50,Addition Stock Finished,
1992 - 1993,Andhra Pradesh,50,Addition Stock Finished,28.0
1992 - 1993,Arunachal Pradesh,50,Addition Stock Finished,
1992 - 1993,Assam,50,Addition Stock Finished,
1992 - 1993,Bihar,50,Addition Stock Finished,4.0
1992 - 1993,Chandigarh,50,Addition Stock Finished,
1992 - 1993,Chhattisgarh,50,Addition Stock Finished,
1992 - 1993,Dadra & Nagar Haveli,50,Addition Stock Finished,
1992 - 1993,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1992 - 1993,Daman & Diu,50,Addition Stock Finished,
1992 - 1993,Delhi,50,Addition Stock Finished,457.0
1992 - 1993,Goa,50,Addition Stock Finished,7.0
1992 - 1993,"Goa, Daman & Diu",50,Addition Stock Finished,
1992 - 1993,Gujarat,50,Addition Stock Finished,134.0
1992 - 1993,Haryana,50,Addition Stock Finished,23.0
1992 - 1993,Himachal Pradesh,50,Addition Stock Finished,3.0
1992 - 1993,Jammu & Kashmir,50,Addition Stock Finished,5.0
1992 - 1993,Jharkhand,50,Addition Stock Finished,
1992 - 1993,Karnataka,50,Addition Stock Finished,266.0
1992 - 1993,Kerala,50,Addition Stock Finished,13.0
1992 - 1993,Ladakh,50,Addition Stock Finished,
1992 - 1993,Lakshadweep,50,Addition Stock Finished,
1992 - 1993,Madhya Pradesh,50,Addition Stock Finished,17.0
1992 - 1993,Maharashtra,50,Addition Stock Finished,656.0
1992 - 1993,Manipur,50,Addition Stock Finished,
1992 - 1993,Meghalaya,50,Addition Stock Finished,
1992 - 1993,Mizoram,50,Addition Stock Finished,
1992 - 1993,Nagaland,50,Addition Stock Finished,
1992 - 1993,Orissa,50,Addition Stock Finished,5.0
1992 - 1993,Puducherry,50,Addition Stock Finished,5.0
1992 - 1993,Punjab,50,Addition Stock Finished,496.0
1992 - 1993,Rajasthan,50,Addition Stock Finished,31.0
1992 - 1993,Sikkim,50,Addition Stock Finished,
